7805923,1,R-NP,JPEECEC05EC0504
108600,2,R-NP,JPEECEC05EC0503
109330,2179,R-IFBG,JPCCKCK01CK0101
136828,1146,R-IFBG,JPBBIBI01BI0102
136830,1147,R-IFBG,JPBBIBI01BI0102
413752,1148,R-IFBG,JPBBIBI03BI0301
414409,2180,R-IFBG,JPCCKCK01CK0104
414907,1993,R-IFBG,JPCCKCK01CK0104
426450,4930,R-FOOD,JPEECEC07EC0702
426454,3507,R-FOOD,JPEECEC07EC0702
428802,3508,R-FOOD,JPEECEC07EC0702
428803,3509,R-FOOD,JPEECEC07EC0702
504147,2440,R-IFBG,JPCCKCK01CK0103
506538,3,R-IFBG,JPCCKCK01CK0103
7800417,4,R-NP,JPEECEC08EC0803
7805923,5,R-NP,JPEECEC06EC0601
8409081,2441,R-IFBG,JPCCKCK02CK0202
9400224,2181,R-CED Brite,JPBBJBJ03BJ0301
9400225,2182,R-CED Brite,JPBBJBJ03BJ0301
9401645,3798,R-NP,JPEEFEF01EF0102
9401646,3799,R-NP,JPEEFEF01EF0102
9401647,3800,R-NP,JPEEFEF01EF0102
9402900,3607,NNC Nutrition,27OO5O501O501J8
9402901,4931,NNC Nutrition,27OO5O501O501J8
9402902,4932,NNC Nutrition,27OO5O501O501J8
9402908,6,NNC Nutrition,27OO5O519O519J5
9402909,7,NNC Nutrition,27OO5O519O519J5
9402910,8,NNC Nutrition,27OO5O519O519J5
9402914,9,NNC Nutrition,27OO5O519O519J5
9402929,10,NNC Nutrition,27OO5O519O519J3
9402930,11,NNC Nutrition,27OO5O519O519J3
9402931,12,NNC Nutrition,27OO5O519O519J3
9402932,13,NNC Nutrition,27OO5O519O519J3
9402933,14,NNC Nutrition,27OO5O519O519J3
9402934,15,NNC Nutrition,27OO5O519O519J3
9402937,16,NNC Nutrition,27OO5O523O523J3
9402939,17,NNC Nutrition,27OO5O501O501J4
9402940,18,NNC Nutrition,27OO5O501O501J4
9402943,4933,NNC Nutrition,27OO5O501O501J1
9402944,4934,NNC Nutrition,27OO5O501O501J1
9402945,19,NNC Nutrition,27OO5O501O501J4
9402946,20,NNC Nutrition,27OO5O501O501J3
9402947,1149,NNC Nutrition,27OO5O501O501J1
9402948,5129,NNC Nutrition,27OO5O501O501J1
9402950,3181,NNC Nutrition,27OO5O501O501J3
9402958,21,NNC Nutrition,27OO5O501O501J2
